Feature 1,Feature 2,Otolith type
51.455204,17.92454,Ammodytes marinus
19.039686,-4.671094,Ammodytes tobianus
-33.275105,-22.369822,Clupea harengus
-24.909893,-8.950819,Clupea harengus
5.909997,26.208153,Sprattus sprattus
-20.973288,-22.1758,Clupea harengus
-10.0988035,32.23163,Sprattus sprattus
-4.1846404,-28.377165,Clupea harengus
31.904388,-0.074973755,Ammodytes tobianus
-2.7245927,-38.148235,Clupea harengus
-17.362343,22.770294,Sprattus sprattus
23.725594,1.5157685,Ammodytes tobianus
20.48597,-1.1066341,Ammodytes tobianus
-19.502155,-20.060595,Clupea harengus
-19.881939,-16.116272,Clupea harengus
12.570639,-4.7167773,Ammodytes tobianus
-2.39036,29.813438,Sprattus sprattus
24.24792,0.088969424,Ammodytes tobianus
-14.980807,-22.296875,Clupea harengus
19.70703,-0.030171897,Ammodytes tobianus
-27.798525,-10.300145,Clupea harengus
-8.713823,-17.656038,Clupea harengus
17.949015,6.319114,Ammodytes tobianus
-7.324549,-36.874866,Clupea harengus
-23.726334,-22.418072,Clupea harengus
23.295494,37.91449,Alosa fallax
46.371517,15.164737,Ammodytes marinus
-7.191821,-16.666182,Clupea harengus
-25.348873,-14.830255,Clupea harengus
-20.348894,-11.630604,Clupea harengus
-28.18083,-22.300379,Clupea harengus
-19.494165,33.113754,Sprattus sprattus
30.591557,-4.1657906,Ammodytes tobianus
-1.4954255,-38.010532,Clupea harengus
2.000785,-26.691359,Clupea harengus
22.295643,4.601065,Ammodytes tobianus
9.334444,-28.263903,Clupea harengus
-10.5242605,-37.57731,Clupea harengus
-5.8127737,-40.904594,Clupea harengus
22.268717,3.825178,Ammodytes tobianus
1.065677,-37.779602,Clupea harengus
29.933073,-1.0678347,Ammodytes tobianus
4.2860627,25.344816,Sprattus sprattus
18.781183,-2.29123,Ammodytes tobianus
-16.08498,18.550598,Sprattus sprattus
-3.952307,-27.222002,Clupea harengus
-7.979136,-15.847994,Clupea harengus
22.269985,-0.72662175,Ammodytes tobianus
50.768307,14.246375,Ammodytes marinus
21.984722,6.6664786,Ammodytes tobianus
-9.326736,22.044989,Sprattus sprattus
53.934406,13.080926,Ammodytes marinus
-29.72103,-21.596167,Clupea harengus
29.662663,-0.5789534,Ammodytes tobianus
2.187947,-29.196388,Clupea harengus
-9.570689,37.47569,Sprattus sprattus
7.359528,-30.626118,Clupea harengus
-25.566233,-14.148126,Clupea harengus
52.807224,11.1811075,Ammodytes marinus
46.409565,17.825,Ammodytes marinus
-11.770908,19.04675,Sprattus sprattus
-26.414915,-13.694342,Clupea harengus
2.7375078,31.131615,Sprattus sprattus
-6.7296104,35.66148,Sprattus sprattus
-14.663389,34.668167,Sprattus sprattus
4.1309,29.800365,Sprattus sprattus
-3.2749312,21.193876,Sprattus sprattus
-3.1152558,20.903698,Sprattus sprattus
-24.146059,-14.955001,Clupea harengus
-2.0784822,-33.683624,Clupea harengus
38.119892,-28.142527,Hyperoplus lanceolatus
5.2335753,28.63644,Sprattus sprattus
3.9636662,-32.40803,Clupea harengus
44.083946,17.982082,Ammodytes marinus
-29.556536,-18.783522,Clupea harengus
-7.9697137,-7.8473997,Clupea harengus
-27.156092,-12.330485,Clupea harengus
-34.13429,-17.047932,Clupea harengus
-16.107769,40.326485,Sprattus sprattus
1.2826083,28.301327,Sprattus sprattus
-18.482393,31.672815,Sprattus sprattus
4.033582,24.17789,Sprattus sprattus
-1.3318388,30.790874,Sprattus sprattus
30.82741,-13.672175,Ammodytes tobianus
-14.939748,17.675125,Sprattus sprattus
0.003872729,29.074564,Sprattus sprattus
17.72611,-1.5716282,Ammodytes tobianus
-1.1677536,30.786617,Sprattus sprattus
28.461493,2.232449,Ammodytes tobianus
20.33791,8.248534,Ammodytes tobianus
21.583921,7.4896746,Ammodytes tobianus
-31.759241,-7.0863986,Clupea harengus
-4.126629,-31.717466,Clupea harengus
5.385487,-32.493977,Clupea harengus
-17.34361,-16.338789,Clupea harengus
45.699684,19.649096,Ammodytes marinus
13.657089,-6.0088954,Ammodytes tobianus
-5.2212124,-14.214646,Clupea harengus
22.084122,-4.4243045,Ammodytes tobianus
4.9890804,-29.56519,Clupea harengus
-14.920623,39.37096,Sprattus sprattus
-10.210518,23.990273,Sprattus sprattus
